PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
pit,PITPIT,125459344,67467,10959576,125459344,15.39,4.08,11.29,9.47,14.33,54.56,13.78,27.55,26.08,67.41,1.8,0.59,0.62,3.01,125.46,12.27,3.25,9.0,7.55,11.42,10.98,21.96,20.79,1.43,0.47,0.49,43.49,53.73,2.4,100.0,2013,2025-08-15 15:18:22,PIT,28,-,54,26.7,96309954,17925814
nor,NONO,124062501,1660736,6214206,124062501,18.25,9.16,11.82,4.05,18.39,61.67,9.9,23.62,23.2,56.72,2.32,1.95,0.76,5.0299999999999985,124.06,14.71,7.38,9.53,3.26,14.82,7.98,19.04,18.7,1.87,1.57,0.61,49.71,45.72,4.05,100.0,2013,2025-08-15 15:18:22,NO,25,-,56,26.9,97705545,19949750
nwe,NENE,124037085,6219259,16932929,124037085,14.6,4.29,14.95,7.3,23.12,64.26,19.96,17.05,17.8,54.81,3.4,0.45,0.56,4.41,124.04,11.77,3.46,12.05,5.89,18.64,16.09,13.75,14.35,2.74,0.36,0.45,51.81,44.19,3.56,100.0,2013,2025-08-15 15:18:22,NE,14,-,53,25.9,84784241,22193915
nyj,NYJNYJ,122960176,4672561,23236993,122960176,15.62,4.35,13.08,4.21,21.66,58.92,8.1,25.26,28.47,61.83,0.62,0.42,0.7,1.74,122.96,12.7,3.54,10.64,3.42,17.62,6.59,20.54,23.15,0.5,0.34,0.57,47.92,50.28,1.42,100.0,2013,2025-08-15 15:18:22,NYJ,16,-,54,26.2,80633014,18934169
atl,ATLATL,122214225,1672075,17155771,122214225,9.9,7.95,17.72,7.15,18.23,60.95,16.4,17.22,22.74,56.36,2.96,0.58,0.48,4.02,122.21,8.1,6.5,14.5,5.85,14.92,13.42,14.09,18.61,2.42,0.47,0.39,49.87,46.12,3.29,100.0,2013,2025-08-15 15:18:22,ATL,24,-,53,26.5,89778071,15184383
sfo,SFSF,122183675,4693644,5256877,122183675,2.47,9.01,18.67,10.13,17.61,57.89,12.37,17.87,25.28,55.52,2.92,4.08,0.63,7.63,122.18,2.02,7.37,15.28,8.29,14.41,10.12,14.63,20.69,2.39,3.34,0.52,47.38,45.44,6.24,100.0,2013,2025-08-15 15:18:22,SF,15,-,51,26.9,108616465,7843921
rai,OAKOAK,121159233,6627808,54996535,121159233,13.89,11.78,10.27,3.59,11.04,50.57,27.7,16.35,17.57,61.62,5.06,0.46,1.13,6.65,121.16,11.46,9.72,8.48,2.96,9.11,22.86,13.49,14.5,4.18,0.38,0.93,41.74,50.86,5.49,100.0,2013,2025-08-15 15:18:22,OAK,13,-,54,26.3,56659660,9161038
gnb,GBGB,120681853,11243878,3119288,120681853,12.81,2.74,10.1,11.57,18.48,55.7,17.97,20.55,19.58,58.1,2.35,1.11,0.82,4.28,120.68,10.61,2.27,8.37,9.59,15.31,14.89,17.03,16.22,1.95,0.92,0.68,46.15,48.14,3.55,100.0,2013,2025-08-15 15:18:22,GB,7,-,52,25.7,100707865,16836700
jax,JAXJAX,120190441,25972675,35388734,120190441,8.48,9.06,17.67,7.52,18.08,60.81,20.9,17.67,14.87,53.44,3.29,0.68,0.59,4.5600000000000005,120.19,7.06,7.54,14.7,6.26,15.04,17.39,14.7,12.37,2.74,0.57,0.49,50.59,44.46,3.79,100.0,2013,2025-08-15 15:18:22,JAX,2,-,53,25.3,66805513,17227369
crd,ARIARI,120046145,7517270,18449362,120046145,12.22,6.27,15.62,5.06,23.18,62.35,22.35,15.15,15.37,52.87,2.05,1.58,1.09,4.72,120.05,10.18,5.22,13.01,4.22,19.31,18.62,12.62,12.8,1.71,1.32,0.91,51.94,44.04,3.93,100.0,2013,2025-08-15 15:18:22,ARI,11,-,52,27.2,92369539,9185244
det,DETDET,119769257,2821760,14829672,119769257,21.56,5.15,17.87,7.45,14.49,66.52,27.64,12.08,10.85,50.57,0.62,0.45,0.62,1.69,119.77,18.0,4.3,14.92,6.22,12.1,23.08,10.09,9.06,0.52,0.38,0.52,55.54,42.22,1.41,100.0,2013,2025-08-15 15:18:22,DET,21,-,53,26.8,95868619,8997466
dal,DALDAL,116240089,4359067,16379985,116240089,13.89,2.28,7.62,6.03,21.45,51.27,10.61,30.4,21.61,62.62,0.56,0.56,0.99,2.1100000000000003,116.24,11.95,1.96,6.56,5.19,18.45,9.13,26.15,18.59,0.48,0.48,0.85,44.11,53.87,1.82,100.0,2013,2025-08-15 15:18:22,DAL,17,-,54,25.9,72038158,27809946
buf,BUFBUF,115151649,18626769,18337408,115151649,8.57,8.33,11.1,4.97,15.53,48.5,32.88,7.38,22.26,62.52000000000001,1.83,0.53,1.06,3.4200000000000004,115.15,7.44,7.23,9.64,4.32,13.49,28.55,6.41,19.33,1.59,0.46,0.92,42.12,54.29,2.97,100.0,2013,2025-08-15 15:18:22,BUF,4,-,55,26.0,93306218,3370023
mia,MIAMIA,112354370,16972957,12900362,112354370,5.87,1.93,9.97,6.01,20.3,44.08,29.14,13.6,21.88,64.62,0.78,1.65,1.09,3.52,112.35,5.22,1.72,8.87,5.35,18.07,25.94,12.1,19.47,0.69,1.47,0.97,39.23,57.51,3.13,100.0,2013,2025-08-15 15:18:22,MIA,5,-,53,26.1,81123929,18186079
car,CARCAR,110901350,16435031,18215100,110901350,7.52,9.37,11.79,4.88,18.18,51.74,18.24,19.42,15.08,52.74,2.75,0.5,0.87,4.12,110.9,6.78,8.45,10.63,4.4,16.39,16.45,17.51,13.6,2.48,0.45,0.78,46.65,47.56,3.72,100.0,2013,2025-08-15 15:18:22,CAR,6,-,53,26.9,73225356,19388894
cle,CLECLE,110066758,28145707,13777043,110066758,5.06,6.37,6.19,2.03,25.18,44.83,25.62,21.41,15.67,62.7,0.98,0.41,1.06,2.45,110.07,4.6,5.79,5.62,1.84,22.88,23.28,19.45,14.24,0.89,0.37,0.96,40.73,56.97,2.23,100.0,2013,2025-08-15 15:18:22,CLE,1,-,52,25.3,80881583,14954250
was,WASWAS,107385220,3301013,5291972,107385220,6.03,2.36,19.87,5.14,23.12,56.52,17.18,16.89,13.08,47.15,0.56,0.88,1.29,2.73,107.39,5.62,2.2,18.5,4.79,21.53,16.0,15.73,12.18,0.52,0.82,1.2,52.63,43.91,2.54,100.0,2013,2025-08-15 15:18:22,WAS,20,-,53,26.8,88700032,13195216
